Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
business identifier code registry,NamedIndividual,International Registries and Authorities Ontology,,a registry for registering and maintaining information about bank and other business identifier codes that conform to ISO 9362:2014,,,,release
business identifier code scheme,Class,Financial Services Entities Ontology,,a scheme that specifies the elements of a unique business identifier code (BIC) scheme to identify financial and non-financial institutions used to facilitate automated processing of information for financial services,"It is a kind of organization identification scheme, code set. It has member some business identifier code.",,,release
business license,Class,Legal Persons Ontology,,license that allows the holder to conduct business or carry out a specific profession within some jurisdiction for some period of time,"It is a kind of license. It is recognized in some jurisdiction, applies to exactly 1 business entity.",,,release
business objective,Class,Objectives Ontology,,objective that reflects the strategic goals and direction of a business within a time frame and available resources,It is a kind of objective. ,,"In general, objectives are more specific and easier to measure than goals. Objectives are basic tools that underlie all planning and strategic activities. They serve as the basis for creating policy and evaluating performance. Some examples of business objectives include minimizing expenses, expanding internationally, or making a profit.. Business objectives allow an organization to define its goals and direction. A company uses strategy and tactics at every level of its operation to achieve its objectives. These define the way a company allocates its resources and the strengths, weaknesses and opportunities it may have. Companies usually do not alter their objectives once they are implemented, unless changes in circumstances arise. Setting a clear course for the organization is key to its success.",release
business party prefix,Class,Financial Services Entities Ontology,"institution code, bank code",a four-character (4 alphanumeric) code associated with the organization,"It is a kind of code element, organization identifier. It is included in at most 1 business identifier code, is defined in some business identifier code scheme.",,"For new BIC registration from an organization not yet identified by a BIC, the party prefix will be allocated at the discretion of the RA. The code will not have a mnemonic or acronym value anymore.. For new BIC registration by an organization already identified with a BIC or an affiliated organization [after the transition period ending November 2018], SWIFT will still reserve the usage of an existing party prefix to these organizations. This legacy rule will be reserved to existing BIC owners. If they wish to preserve this value, no other organization will be allowed to use the same code",release
business party suffix,Class,Financial Services Entities Ontology,,a two-character (2 alphanumeric) code associated with the organization,"It is a kind of code element. It is defined in some business identifier code scheme, is included in some business identifier code.",,"With the revision of the standard [and transition period ending November 2018], the location code has been re-defined as a 'party suffix' without any specific meaning. A new reference data attribute has been introduced in the SWIFTRef directories to indicate where the institution is located and to which time zone it refers.. In the prior version of the standard, position 7 of the BIC determined the location of the BIC in a particular country. In a country spanning over multiple time zones, each character may have been used to define a different time zone. If an organization moved location to a different time zone within the same country, the existing BIC would normally have been deleted and replaced by a new BIC with the appropriate location code.",release
business recurrence interval,Class,Business Dates Ontology,,recurrence interval that is defined per a specific convention that determines how recurring days should be handled,It is a kind of recurrence interval. It has business recurrence interval convention exactly 1 business recurrence interval convention.,,,release
business recurrence interval convention,Class,Business Dates Ontology,,"convention that specifies how recurring days should be handled, such as the end of the month, a particular day of the month, a day of the week, or more specifically, a t-bill auction date",It is a kind of convention. ,,,release
business register identifier,Class,Business Registries Ontology,,"identifier that uniquely identifies a business register, such as a register identified by the Global Legal Entity Identifier Foundation (GLEIF) registration authorities list","It is a kind of identifier. It identifies exactly 1 business registry, is registered by some business registration authority.",,,release
business registration authority,Class,Business Registries Ontology,,registration authority that is responsible for maintaining a registry of business entities,"It is a kind of registration authority. It manages some business registry, registers some registration identifier.",,"A business registry may include any government-managed registry for registering a business, such as a state department of corporations in the US, as well as other registries such as a local operating unit (LOU) for registration of legal entity identifiers (LEIs).  Any sanctioned registration authority as defined by the Registration Authorities List, published by GLEIF, is a business registration authority in this sense.",release
business registry,Class,Business Registries Ontology,,registry for registering and maintaining information about business entities,"It is a kind of registry. It is managed by exactly 1 business registration authority, has registry entry some business registry entry.",,,release
business registry entry,Class,Business Registries Ontology,,entry in a business registry,"It is a kind of registry entry. It comprises some registration identifier, has registration status at most 1 registration status, has registration date some combined date time.",,,release
business strategy,Class,Objectives Ontology,,"strategy for achieving a specific business goal, objective, solution or outcome",It is a kind of strategy. It has objective some business objective.,,,release
buyer,Class,Products and Services Ontology,"purchaser, buyer",party that purchases something in exchange for money or other consideration under a contract of sale,It is a kind of party in role. It buys some product.,,"A buyer is the party that acquires, or agrees to acquire, ownership (in case of goods), or benefit or usage (in case of rights or services), something in the context of a sale, and may or may not be an end user of the product, good, service, or right.",release
buys,Property,Products and Services Ontology,,links a party in the role of purchaser to something that they have purchased or plan to purchase,,,,release
buys from,Property,Products and Services Ontology,,links a party in the role of purchaser to a party from which they have made or are planning to make a purchase,,,,release
bylaws,Class,Executives Ontology,"byelaws, membership agreement","written rules for conduct of a corporation, association, partnership or any organization",It is a kind of law. ,,,release
bypass,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,road passing around a town or its center to provide an alternative route for through traffic,,,,release
calculated date,Class,Financial Dates Ontology,,date that is or will be determined based on some formula,It is a kind of date. It has business day adjustment at most 1 business day adjustment.,,"The hasDateValue property of a CalculatedDate is not set until the Date is calculated.  Since the calculation may depend upon future events that may or may not ever happen, the hasDateValue property may never be set.",release
calculated price,Class,Currency Amount Ontology,,monetary price determined by a formula,"It is a kind of monetary price. It has formula exactly 1 formula, uses at least 0 pricing model.",,,release
calculation agent,Class,Derivatives Basics Ontology,,"party that is responsible for determining the value of a derivative and in some cases, determines how much the parties owe one another",It is a kind of third-party agent. ,,"The calculation agent can also establish the price for a structured product and may act as its guarantor and issuer. If the counterparty in a derivative transaction is a broker-dealer, then they will often act as the calculation agent.",release
calculation period,Class,Parametric Schedules Ontology,,date period defined as the number of days from the start to the scheduled end of the computation window,"It is a kind of date period. It has start date at most 1 date, has duration at most 1 calculation period length, has end date at most 1 date.",,,release
calculation period length,Class,Parametric Schedules Ontology,,an explicit duration defined as the number of days from the adjusted effective or start date to the adjusted termination or end date calculated in accordance with the applicable day count fraction,It is a kind of explicit duration. ,,,release
calendar month,NamedIndividual,Financial Dates Ontology,,"time interval resulting from the division of a calendar year in 12 time intervals, each with a specific name and containing a specific number of calendar days",,,,release
calendar period,Class,Financial Dates Ontology,,time interval that occurs within a system that fixes the beginning and length of a segment of the year with respect to that system,It is a kind of time interval. ,,"A calendar-specified date may be figured with respect to a calendar week, a calendar month, a calendar quarter, or a calendar year.",release
calendar quarter,NamedIndividual,Financial Dates Ontology,,"time interval of 3 months, starting on January 1, April 1, July 1, or October 1",,,,release
calendar week,NamedIndividual,Financial Dates Ontology,,time interval of seven calendar days starting on a Monday,,,,release
calendar year,NamedIndividual,Financial Dates Ontology,,cyclic time interval in a calendar which is required for one revolution of the Earth around the Sun and approximated to an integral number of calendar days; a year in the Gregorian calendar,,,,release
calendar-specified interval,Class,Financial Dates Ontology,,"recurrence interval that is defined as the nth day of some calendar period (such as a calendar month), and a time direction (forward from the beginning of the month, or backwards from the end)","It is a kind of recurrence interval. It has time direction exactly 1 time direction, has calendar period exactly 1 calendar period.","The last day of each quarter, specified as RelativeDay 1, and TimeDirection set to FromEnd., The 15th day of each calendar month.","The nth day is an ordinal number, not a cardinal number. '1' means the first day of the calendar period.",release
call event,Class,Debt Instruments Ontology,,an event associated with the call schedule for a debt instrument,It is a kind of redemption event. ,,,release
call feature,Class,Debt Instruments Ontology,call provision,redemption provision defining the rights of the issuer to buy back a security at a call price after a call protection period,"It is a kind of redemption provision. It comprises some call schedule, has notification provision at least 0 call notification provision.",,Most corporate and municipal bonds have ten-year call features (termed call protection by holders); government securities typically have none.,release
call notification provision,Class,Debt Instruments Ontology,,provision of a call feature defining notification requirements,It is a kind of notification provision. It has date period only call window.,,,release
call premium,Class,Debt Instruments Ontology,,the price over par paid by an issuer to redeem securities when exercising a call provision,It is a kind of monetary price. ,,,release
call schedule,Class,Debt Instruments Ontology,,a schedule of call prices and when they are in effect,It is a kind of schedule. It comprises some call event.,,,release
call window,Class,Debt Instruments Ontology,,an explicit period of time prior to a call date during which an issuer or agent must give notice to holders,It is a kind of date period. ,,,release
callable bond,Class,Bonds Ontology,,bond that includes a stipulation allowing the issuer the right to repurchase and retire the bond at the call price after the call protection period,"It is a kind of bond. It has extraordinary redemption provision at most 1 extraordinary redemption provision, has call feature some call feature.",,,release
callable convertible bond,Class,Bonds Ontology,,convertible bond that is also callable,"It is a kind of callable bond, convertible bond. ",,,release
camp,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
canary exercise convention,NamedIndividual,Exercise Conventions Ontology,,"exercise/call convention that stipulates that an option may only be exercised on predetermined dates until the first step is reached, but not after that point",,,,release
canary exercise terms,Class,Exercise Conventions Ontology,,"exercise terms that stipulate that an option may only be exercised on predetermined dates until the first step is reached, but not after that point",It is a kind of Bermudan exercise terms. It uses resource that is canary exercise convention.,,,release
cancelled status,NamedIndividual,Business Registries Ontology,,status indicating that the registration was abandoned prior to issuance,,,,release
canyon,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
capability,Class,Facilities Ontology,,"ability to perform a particular type of work that may involve people with particular skills and knowledge, intellectual property, defined practices, operating facilities, tools and equipment",It involves some facility.,,,release
cape,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
"capital productivity, based on value added",Class,Economic Indicators Ontology,,a ratio of a quantity index of value added to a quantity index of capital input,It is a kind of productivity. ,,"Changes in capital productivity indicate the extent to which output growth can be achieved with lower welfare costs in the form of foregone consumption.. The capital productivity index shows the time profile of how productively capital is used to generate value added. Capital productivity reflects the joint influence of labour, intermediate inputs, technical change, efficiency change, economies of scale, capacity utilisation and measurement errors.",release
capital surplus,Class,Accounting Equity Ontology,,capital contributed in excess of the par value (stated value) of the ownership interest issued,It is a kind of paid-in capital. ,,,release
"capital-labor multifactor productivity (MFP), based on value added",Class,Economic Indicators Ontology,,a ratio of a quantity index of value added to a quantity index of combined labor and capital input,It is a kind of productivity. ,,"Capital-labour MFP indices show the time profile of how productively combined labour and capital inputs are used to generate value added. Conceptually, capital-labour productivity is not, in general, an accurate measure of technical change. It is, however, an indicator of an industry's capacity to contribute to economy-wide growth of income per unit of primary input. In practice, the measure reflects the combined effects of disembodied technical change, economies of scale, efficiency change, variations in capacity utilisation and measurement errors.",release
capital-labor-energy-materials multifactor productivity,Class,Economic Indicators Ontology,KLEMS multifactor productivity,a ratio of a quantity index of gross output to a quantity index of combined inputs,It is a kind of productivity. ,,"Shows the time profile of how productively combined inputs are used to generate gross output. Conceptually, the KLEMS productivity measure captures disembodied technical change. In practice, it reflects also efficiency change, economies of scale, variations in capacity utilisation and measurement errors.",release
capitalization-based weighting function,Class,Basket Indices Ontology,,weighting function derived from the relative market capitalization (share price times the number of shares outstanding) of the companies tracked by an index,It is a kind of weighting function. It has argument some market capitalization.,,,release
cash instrument,Class,Financial Instruments Ontology,,financial instrument whose value is determined by the market and that is readily transferable (highly liquid),It is a kind of financial instrument. ,,,release
cashflow expression,Class,Derivatives Basics Ontology,,expression that specifies a calculation of a cash flow as a component of a cashflow formula,It is a kind of expression. ,,,release
cashflow formula,Class,Derivatives Basics Ontology,,formula for determining cashflows for a derivative instrument,It is a kind of formula. It has expression some cashflow expression.,,,release
cashflow terms,Class,Derivatives Basics Ontology,,terms setting out a cashflow structure of payments committed to by one party to a contract,"It is a kind of derivative terms, debt terms. ",,,release
catalog,Class,Financial Products and Services Ontology,,publication including a list of products available for sale with their descriptions and possibly prices,"It is a kind of publication. It describes some product, is identified by only identifier.",,,release
causes,Property,Relations Ontology,,"relationship between an event or set of events or factors (the cause) and a second event, phenomenon, situation, or result (the effect), where the second event or outcome is understood as a consequence of the first",,,,release
causeway,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
center,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
centers,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
central bank,Class,Financial Services Entities Ontology,,a financial institution that is the monetary authority and major regulatory bank for a country (or group of countries),"It is a kind of bank, monetary authority. It has identity only instrumentality.",,"Its functions include issuing and managing the country's currency, controlling monetary policy and supervising money market operations, managing exchange and gold reserves, acting as lender of last resort to commercial banks, and providing banking services to the government. Central banks are state-controlled but are increasingly being given an independent status to insulate them from partisan politics.",release
central counterparty clearing house,Class,Financial Services Entities Ontology,,a clearing house that helps facilitate trading in derivatives and equities markets,It is a kind of clearing house. ,,"These clearing houses are often operated by the major banks in the country. The house's prime responsibility is to provide efficiency and stability to the financial markets that they operate in.

There are two main processes that are carried out by CCPs: clearing and settlement of market transactions. Clearing relates to identifying the obligations of both parties on either side of a transaction. Settlement occurs when the final transfer of securities and funds occur.

CCPs benefit both parties in a transaction because they bear most of the credit risk. If two individuals deal with one another, the buyer bears the credit risk of the seller, and vice versa. When a CCP is used the credit risk that is held against both buyer and seller is coming from the CCP, which in all likelihood is much less than in the previous situation.",release
central securities depository,Class,Financial Services Entities Ontology,,"a functional entity that provides a central point for depositing financial instruments ('securities'), for example bonds and shares",It is a kind of financial service provider. ,,CSDs' clients are typically financial institutions themselves (such as custodian banks and brokers) rather than individual investors.,release
certificate,Class,Documents Ontology,,document attesting to the truth of some fact or set of facts,It is a kind of document. ,,,release
certificate of deposit,Class,Clients and Accounts Ontology,,cash instrument associated with a time deposit account that cannot be withdrawn for a certain period of time (term),"It is a kind of cash instrument. It has interest rate exactly 1 interest rate, has nominal value exactly 1 monetary amount, has term exactly 1 duration.",,When the term is over it can be withdrawn or it can be held for another term. The longer the term the better the yield on the money.,release
certificate of obligation,Class,Bonds Ontology,,"municipal security available to governing councils in case of emergency, such as a natural disaster, that needs immediate action without time for voter referendum",It is a kind of municipal security. ,,"For example, when a hurricane destroys the police and emergency services building, there is no time to go through the process of voter referendum. The local council must be able to borrow the money to set up provisional buildings and necessary equipment for police and emergency services so that the community is served in continuity.",release
certificate of participation,Class,Bonds Ontology,,"municipal security evidencing a pro rata share in a specific pledged revenue stream, usually lease payments by the issuer that are typically subject to annual appropriation",It is a kind of municipal security. ,,"The certificate generally entitles the holder to receive a share, or participation, in the payments from a particular project. The payments are passed through the lessor to the certificate holders. The lessor typically assigns the lease and the payments to a trustee, which then distributes the payments to the certificate holders.",release
characterizes,Property,Relations Ontology,,specifies a discriminating feature or quality of,,,,release
chartered legal person,Class,Legal Persons Ontology,,a legal person created by a royal charter or decree,It is a kind of legal entity. ,"Anything with 'Royal Institute' in the name. Also universities are generally set up by royal charter in a monarchy or principality, (often pre-dating any Privy Council i.e. directly be the monarch in the case of older universities). The Bank of England and the British Broadcasting Council (BBC) are also incorporated through Royal Charter.",,release
chief executive officer,Class,Executives Ontology,,top corporate officer responsible for an organization's overall operations and performance,"It is a kind of corporate officer, executive board member, principal party. ",,"He or she is the leader of the firm, serves as the main link between the board of directors (the board) and the firm's various parts or levels, and is held solely responsible for the firm's success or failure. One of the major duties of a CEO is to maintain and implement corporate policy, as established by the board. Also called President or managing director, he or she may also be the chairman (or chairperson) of the board.",release
chief financial officer,Class,Executives Ontology,,senior-most corporate officer responsible for financial control and planning for an organization or project,"It is a kind of corporate officer, executive. ",,"He or she is in charge of all accounting functions including (1) credit control, (2) preparing budgets and financial statements, (3) coordinating financing and fund raising, (4) monitoring expenditure and liquidity, (5) managing investment and taxation issues, (6) reporting financial performance to the board, and (7) providing timely financial data to the CEO. Also called chief finance officer, comptroller, controller, or finance controller.",release
circle,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
circles,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
civilian,Class,Economic Indicators Ontology,,"a person that is not a member of the military (i.e., that is not on active duty)",It is a kind of legally competent natural person. ,,,release
civilian labor force,Class,Economic Indicators Ontology,,"a subset of the civilian, non-institutional population considered to be part of the labor force during a given reporting period",It is a kind of civilian non-institutional population. ,,,release
civilian labor force participation rate,Class,Economic Indicators Ontology,,an economic indicator representing the rate of participation the labor force of a given economy for some specified period,"It is a kind of economic indicator, expression. It has argument some civilian labor force, applies to some civilian labor force, has indicator value some ratio value, has argument some civilian non-institutional population.",,"The labor force participation rate is the percentage of the population that is either employed or unemployed (that is, either working or actively seeking work).",release
civilian non-institutional population,Class,Economic Indicators Ontology,,"a statistical universe consisting of people of a certain age who reside in a given region, do not live in institutions (for example, correctional facilities, long-term care hospitals, and nursing homes), and are not on active military duty",It is a kind of statistical universe. ,,,release
claim,Class,Legal Capacity Ontology,,"a demand or assertion made by one party on another, based on facts that, taken together, give rise to a legally enforceable right or judicial action",It is a kind of legal construct. ,,Claims arise from the existence of a formal commitment between the parties or as implicitly agreed upon through the operation of law or constitution.,release
classification of financial instruments code scheme,Class,Securities Classification Ontology,,classification scheme for set of codes for financial instruments that can be used globally for straight-through processing by all involved participants in an electronic data processing environment,"It is a kind of financial instrument classification scheme, code set. It defines some financial instrument classification code.",,The ISO 10962 Securities and related financial instruments - Classification of financial instruments (CFI) code was developed as a solution to a number of challenges. One is to establish a series of codes which clearly classify financial instruments having similar features. The other is to develop a glossary of terms and provide common definitions which allow market participants to easily understand terminology being used.,release
classification scheme,Class,Classification Schemes Ontology,,system for allocating classifiers to objects,It is a kind of scheme. It defines some classifier.,,"A classification scheme may be a taxonomy, a network, an ontology, or any other terminological system. Such classification schemes are intended to permit the classification of arbitrary objects into hierarchies, or partial orders, as appropriate. The classification may also be just a list of controlled vocabulary of property words (or terms). The list might be taken from the 'leaf level' of a taxonomy.",release
classifier,Class,Classification Schemes Ontology,,"standardized classification or delineation for something, per some scheme for such delineation, within a specified context","It is a kind of aspect. It classifies some Thing, is defined in exactly 1 classification scheme.",,,release
cleared trade,NamedIndividual,Financial Products and Services Ontology,,"stage in the lifecycle of a trade indicating that a third-party clearing house, acting as an intermediary, has reconciled the orders involved in the trade",,,"Clearing validates the availability of funds, records the transfer, and in the case of securities ensures the delivery of the security to the buyer.",release
clearing bank,Class,Financial Services Entities Ontology,,"a commercial bank that facilitates payment and settlement of financial transactions, such as check clearing or facilitating trades between the sellers and buyers of securities or other financial instruments or contracts","It is a kind of commercial bank, clearing house. ",,,release
clearing corporation,Class,Financial Services Entities Ontology,,a clearing house that is organized as a corporation,It is a kind of clearing house. It has identity exactly 1 corporation.,,,release
clearing house,Class,Financial Services Entities Ontology,,"a financial service provider that is exchange affiliated and provides clearing services, including the validation, delivery, and settlement of financial transactions, for financial intermediaries",It is a kind of financial service provider. It provides some clearing service.,,,release
clearing service,Class,Financial Services Entities Ontology,,a set of activities provided on behalf of an institutional market participant by a clearing services provider following a trade that finalizes the transfer of security ownership,It is a kind of financial service. ,,,release
client,Class,Products and Services Ontology,,"party that purchases professional services from, or has a formal relationship to purchase services from another party",It is a kind of party in role. ,,,release
client identifier,Class,Products and Services Ontology,,sequence of characters uniquely identifying a client within the context of some organization,It is a kind of party-in-role identifier. It identifies exactly 1 client.,,,release
cliff,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
cliffs,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
close date,Class,Clients and Accounts Ontology,,date on which something was closed,It is a kind of explicit date. ,"account close date, transaction record close date, and so forth",,release
closed trade,NamedIndividual,Financial Products and Services Ontology,,"stage in the lifecycle of a trade indicating that the trade has been finalized, and that there is no longer a corresponding open position on the books of the trader, eliminating any exposure",,,,release
closed-end investment,Class,Funds Ontology,closed-end fund,investment fund that has a fixed number of shares offered by an investment company through an initial public offering,It is a kind of managed investment. ,,,release
closing price,Class,Instrument Pricing Ontology,,cash value of the last transacted price before the market closes,It is a kind of market price. ,,,release
closing price determination method,Class,Instrument Pricing Ontology,,strategy for calculating or otherwise determining an official closing price,It is a kind of price determination method. ,,"The official closing price is typically the final price at which something trades during regular market hours on an exchange or trading venue.  Because of the evolving nature of online trading in a 24 hour world, every exchange has a method of calculating its official closing price, although that methodology changes from time to time.  They may also publish an adjusted closing price, which reflects changes to the price that reflect corporate actions and after hours trading that occur before the opening of the exchange on the following day. Understanding how the closing price is determined is important to ensure price comparability for a given security across exchanges.",release
club,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
collateral,Class,Debt Ontology,,"asset offered as security, pledged as an inducement to another party, to lend money, extend credit, or provision securities",It is a kind of asset. ,,,release
collateral agreement,Class,Debt Ontology,,"written contract that specifies terms, over and above those specified in a promissory note, loan, or other debt instrument, under which the collateral must be made available to the lender",It is a kind of written contract. It is collateralized by at least 0 collateral.,Examples include deeds of trust and uniform commercial code (UCC) agreements.,,release
collateralized guaranty,Class,Guaranty Ontology,,guaranty that takes the form of some asset that is pledged by a borrower to a lender (usually in return for a loan),It is a kind of guaranty. It is collateralized by some collateral.,,"In some cases, the lender may require the borrower to place pledged assets such as cash or securities in a separate account that the lender controls.",release
collection constituent,Class,Arrangements Ontology,,element of a collection,,,,release
collection of security prices,Class,Instrument Pricing Ontology,,"collection consisting of a series of prices, each of which has a specific date and time associated with it, for some security","It is a kind of dated structured collection. It refers to some security, has currency exactly 1 currency, has constituent some security price.",,,release
collective investment vehicle,Class,Funds Ontology,,assets pooled by investors whose share capital remains separate from the assets of the vehicle,It is a kind of pooled fund. It has legal structure some legal fund structure.,,"Collective investment vehicles are typically organized and operated by management companies, banks, or trust companies. Shares or units are issued in the form of unit trusts, mutual funds, or other similar contracts. Common kinds of funds include pension funds, insurance funds, foundations, and endowments.  Such pools are often invested and professionally managed, including investment pools, umbrella pools, share class pools, etc.",release
combined statistical area,Class,Economic Indicators Ontology,,a combination of adjacent metropolitan and micropolitan areas with economic ties measured by commuting patterns,It is a kind of government-specified statistical area. It comprises at least 2 government-specified statistical area.,,These areas that combine retain their own designations as metropolitan or micropolitan statistical areas within the larger combined statistical area.,release
commercial bank,Class,Financial Services Entities Ontology,,"a bank that provides services, such as accepting deposits, giving business loans and auto loans, mortgage lending, and basic investment products like savings accounts and certificates of deposit",It is a kind of bank. It has identity exactly 1 corporation.,,"The traditional commercial bank is a brick and mortar institution with tellers, safe deposit boxes, vaults and ATMs. However, some commercial banks do not have any physical branches and require consumers to complete all transactions by phone or Internet. In exchange, they generally pay higher interest rates on investments and deposits, and charge lower fees.. A commercial bank is a financial institution that is owned by stockholders, operates for a profit, and engages in various lending activities.",release
commercial finance company,Class,Financial Services Entities Ontology,commercial credit company,"a finance company that makes loans to manufacturers and wholesalers, secured by accounts receivable, inventories, and equipment",It is a kind of finance company. ,,,release
commercial paper,Class,Traded Short-Term Debt Ontology,,"an unsecured short-term debt instrument typically issued by a bank, corporation, or foreign government to obtain funds to meet short-term debt obligations, such as accounts receivable, inventories, or payroll, backed only by an issuing bank or company promise to pay the face amount on the maturity date specified on the note","It is a kind of money market instrument. It has relative price at maturity resource that is par value, has relative price at issue resource that is at a discount.",,"Commercial paper has a very-short to short maturity period (usually, 2 to 30 days, and rarely more than 270 days).",release
commitment,Class,Agreements Ontology,,A legal construct which represents the undertaking on the part of some party to act or refrain from acting in some manner.,,,,release
commitment at large,Class,Agreements Ontology,,a commitment made by some party without direct involvement from the potential beneficiaries of that commitment,It is a kind of unilateral commitment. ,,,release
committed credit facility,Class,Debt Ontology,,"credit facility that is a confirmed source of financing for the borrower, as long as the borrower meets the conditions of the agreement",It is a kind of credit facility. It has constituent at least 0 committed sub-facility.,,,release
committed sub-facility,Class,Debt Ontology,,contractually committed portion of a credit facility that is available to the borrower and may be associated with some specific collateral,It is a kind of sub-facility. It is constituent of some committed credit facility.,,,release
"commodities, futures and derivatives regulator",NamedIndividual,US Regulatory Agencies Ontology,,regulatory agency and registration authority role of the Commodity Futures Trading Commission (CFTC),,,,release
commodity,Class,Products and Services Ontology,,material resource used in commerce that is interchangeable with other commodities of the same type,It is a kind of good. ,,"Commodities are most often used as inputs in the production of other goods or services. The quality of a given commodity may differ slightly, but it is essentially uniform across producers.",release
commodity instrument,Class,Financial Instruments Ontology,,"financial instrument representing an ownership interest in bulk goods, such as raw materials and primary agricultural products",It is a kind of financial instrument. ,,,release
commodity trading advisor,Class,Financial Services Entities Ontology,,an individual or organization that directly or indirectly advises others as to the value or advisability of buying or selling futures contracts or options,It is a kind of non-depository institution. ,,"Indirect advice includes exercising trading authority over a customer's account. In the U.S., registered CTAs are registered with the Commodities Futures Trading Commission (CFTC) and are generally required to be members of the National Futures Association (NFA).",release
common,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
common code registry entry,Class,Securities Identification Individuals Ontology,,entry in a common code registry,"It is a kind of registry entry. It is included in resource that is common code repository, applies to only security, comprises resource that is Euroclear Clearstream common code.",,,release
common code repository,NamedIndividual,Securities Identification Individuals Ontology,,"distributed international repository of security identifiers, issued by Euroclear or Clearstream (CEDEL), that are used to identify securities in Europe for the purposes of facilitating clearing and settlement of trades",,,,release
common designation,Property,Annotation Vocabulary,,frequently used designation for an entity,,,,release
common interest development corporation,Class,Corporate Bodies Ontology,,not-for-profit corporation set up under specific state legislation as a business entity for homeowners' associations,It is a kind of not-for-profit corporation. ,http://www.dre.ca.gov/files/pdf/re39.pdf,"A common interest development is typically a type of housing, composed of individually owned units, such as condominiums, townhouses, or single-family homes, that share ownership of common areas, such as swimming pools, landscaping, and parking. Common interest developments (also known as community interest developments or CIDs) are managed by homeowners' associations.",release
common share,Class,Equity Instruments Ontology,ordinary share,share that signifies a unit of ownership in a corporation and represents a claim on part of the corporation's assets and earnings,It is a kind of share. It pays at least 0 ordinary dividend.,,"In the event that the corporation is liquidated, claims of secured and unsecured creditors and owners of bonds and preferred shares take precedence over claims of common share holders.",release
"common, enhanced voting, restricted, fully-paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is restricted from a sales / transfer perspective, is fully paid and is registered","It is a kind of common share, restricted share, registered security, enhanced voting share, fully paid share. It is classified by resource that is ESETFR CFI common/ordinary share classifier, has denotation resource that is ESETFR CFI common/ordinary share classifier.",,,release
"common, enhanced voting, restricted, nil paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is restricted from a sales / transfer perspective, is nil paid and is registered","It is a kind of common share, restricted share, registered security, enhanced voting share, nil paid share. It has denotation resource that is ESETOR CFI common/ordinary share classifier, is classified by resource that is ESETOR CFI common/ordinary share classifier.",,,release
"common, enhanced voting, restricted, partly paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is restricted from a sales / transfer perspective, is partially paid and is registered","It is a kind of common share, partially paid share, restricted share, registered security, enhanced voting share. It is classified by resource that is ESETPR CFI common/ordinary share classifier, has denotation resource that is ESETPR CFI common/ordinary share classifier.",,,release
"common, enhanced voting, unrestricted, fully-paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is not restricted from a sales / transfer perspective, is fully paid and is registered","It is a kind of common share, registered security, enhanced voting share, unrestricted share, fully paid share. It has denotation resource that is ESEUFR CFI common/ordinary share classifier, is classified by resource that is ESEUFR CFI common/ordinary share classifier.",,,release
"common, enhanced voting, unrestricted, nil paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is not restricted from a sales / transfer perspective, is nil paid and is registered","It is a kind of common share, registered security, enhanced voting share, unrestricted share, nil paid share. It has denotation resource that is ESEUOR CFI common/ordinary share classifier, is classified by resource that is ESEUOR CFI common/ordinary share classifier.",,,release
"common, enhanced voting, unrestricted, partly paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers multiple votes per share, is not restricted from a sales / transfer perspective, is partially paid and is registered","It is a kind of common share, partially paid share, registered security, enhanced voting share, unrestricted share. It has denotation resource that is ESEUPR CFI common/ordinary share classifier, is classified by resource that is ESEUPR CFI common/ordinary share classifier.",,,release
"common, non-voting, restricted, fully-paid, registered share",Class,Equities CFI Classification Individuals Ontology,,"common share that confers exactly 0 votes per share, is restricted from a sales / transfer perspective, is fully paid and is registered","It is a kind of common share, restricted share, registered security, fully paid share, non-voting share. It has denotation resource that is ESNTFR CFI common/ordinary share classifier, is classified by resource that is ESNTFR CFI common/ordinary share classifier.",,,release
